feature,psi,ks_pvalue
id_31,2.5600707331816674,
M8,0.7234805018542912,
M9,0.7219447490494117,
M7,0.7217804489357514,
id_30,0.7000664743406859,
DeviceInfo,0.4763268710012946,
M2,0.4452821318229651,
M3,0.44458812923856006,
M1,0.44430685274313086,
D11,0.4054248873462959,0.0
id_38,0.37006212691943735,
D15,0.3629701646865094,8.684944070833249e-168
V26,0.23492977582516572,2.6848012074224108e-73
V11,0.22384973993063742,4.700546448255315e-278
V10,0.22297067180505742,1.2840922254861782e-276
V25,0.21622996104079578,8.072601327651371e-76
D4,0.21576607860698116,1.467870833650354e-156
V67,0.2130427015796306,1.1887358993029083e-71
id_13,0.2084064658329649,2.3739682735959547e-47
V66,0.19802491114091078,4.310836521306332e-75
id_33,0.18104466207104603,
ProductCD,0.1597164382241233,
V148,0.13587092001281362,5.620012654861288e-46
V157,0.13587092001281362,5.620012654861288e-46
V139,0.13587092001281362,5.620012654861288e-46
V155,0.13587092001281362,5.620012654861288e-46
V153,0.13587092001281362,5.620012654861288e-46
V149,0.13568434247062588,6.788543154680118e-46
V156,0.13568434247062588,6.788543154680118e-46
V140,0.13568434247062588,6.788543154680118e-46
V158,0.13568434247062588,6.788543154680118e-46
V154,0.13568434247062588,6.788543154680118e-46
D5,0.12547514378963082,6.772144299823446e-69
V130,0.11880361149993846,7.418045502871134e-172
V99,0.11851784647637112,2.1306918604431343e-164
D10,0.10342358511368721,8.920171522348195e-80
C9,0.10189658867498337,1.4500419904612933e-141
V96,0.0964677602430349,2.5066384848167982e-148
id_35,0.09259382494786053,
id_34,0.09101654271241633,
V127,0.0794597319443581,1.5241801289712329e-155
V49,0.07750698504521672,2.116150034952372e-103
V48,0.07673980771888395,4.2578829197105025e-102
V19,0.07600896061774104,4.72993249331236e-90
id_02,0.0756977588183704,7.976763750938505e-49
V20,0.07296022603895491,2.2796317648436798e-83
V91,0.07060777478425484,6.114958806564308e-109
V90,0.07019695025468883,4.425839527843885e-108
V61,0.07012723506551446,2.631966661386097e-81
V62,0.06891456768761162,9.11220433138803e-77
addr2,0.061680817924686916,1.8296236927225996e-05
id_36,0.059505337533029896,
TransactionAmt,0.05926498377985733,1.7336796340083157e-19
M6,0.05882674557193031,
C10,0.058149248508017795,2.529542478251321e-66
id_12,0.05777531483485895,
card5,0.05540818728574443,4.55084627717998e-07
id_16,0.05455675763828498,
C8,0.05401125997862744,1.2538153464946502e-63
V54,0.0536630359312053,5.175749950580467e-86
id_15,0.05350381112543152,
V53,0.05271288749757164,5.062056549228682e-87
id_19,0.05233302986539842,4.9273084448280863e-29
DeviceType,0.049975836480511605,
id_28,0.04852766697961291,
id_37,0.04847889320373453,
id_29,0.04843682929381866,
V131,0.04692046278128378,3.760378332183861e-43
id_20,0.045812146882735716,6.367317780713764e-25
V100,0.04502904484745539,1.1898480303939042e-39
V4,0.0449492124762623,1.509506541808962e-25
R_emaildomain,0.04416317658287219,
V5,0.04331621339692564,7.79256120719506e-24
V13,0.03569050581351085,7.033574355652135e-59
V12,0.03526846957265116,1.4344354698287054e-59
id_14,0.032645370826680745,1.0322637420979424e-12
V70,0.029622008112085353,4.647344767514152e-47
V69,0.028752685528399616,1.87181649251674e-45
V97,0.028688509211273673,1.6837782307807046e-34
C13,0.027752811660693554,5.2768121395218234e-39
P_emaildomain,0.027289130625229446,
V303,0.026939546620853662,2.023650542094678e-31
card6,0.026372763916983087,
V30,0.026175312082555153,1.1968014925702628e-41
V291,0.026076414763357002,1.1802699310141804e-33
V304,0.02573971785433635,6.052781751004411e-30
V29,0.02528926307049313,4.662145527057687e-40
C2,0.02454640512171107,9.057762623758153e-43
V302,0.02448397388315673,2.080536402938709e-28
D3,0.02342769361202056,9.874400607039689e-13
C11,0.02199406023470464,2.0789995401953067e-05
D1,0.02140322168365513,8.204438583127135e-41
card2,0.021298763152313008,1.622847521421012e-10
dist1,0.021217739199562713,2.483948685108644e-17
V292,0.02058136800239855,3.614097954982765e-17
D2,0.01919879579482471,4.546909806887823e-32
V283,0.018242739111347557,1.323183199199691e-18
V128,0.01761551836725493,2.5174020461414427e-37
id_18,0.017031819769293514,0.0012512561569081521
V310,0.016954703642072657,2.4921083719322637e-30
M4,0.016913836102010874,
V307,0.01627022349134501,5.613589829287775e-31
C6,0.015234763617697576,4.164349586923282e-20
V285,0.014730553134917328,2.3161070676870816e-25
card1,0.014721935871147377,4.5815327474855057e-07
V35,0.01401727583138904,2.246937672658871e-20
V75,0.013861410745882152,1.8993720543758846e-22
V36,0.011509966013126555,2.9736741386485135e-16
card4,0.011398075588698927,
V282,0.010989174489970492,1.2173903555119515e-18
M5,0.01090575626225617,
V76,0.010885045615113975,4.091513862135012e-17
C1,0.008803347980028879,4.4497025663920087e-13
addr1,0.008629328479195762,8.602641015388879e-05
id_03,0.008553710804455578,0.999999998934195
C14,0.00825400567742164,2.170542326681207e-12
D9,0.007232323840285149,0.00010087057059138122
D8,0.00670443868698912,1.6766419929918918e-07
C5,0.00668623599410668,1.2801573274224757e-11
id_05,0.006577710746535749,1.7869886672111377e-08
V313,0.006084848260663356,4.19609124310284e-06
V308,0.005986484302098375,2.826002979265448e-09
V280,0.005697876831291462,5.353234045446074e-08
V287,0.005412074695704075,9.42595394136767e-07
V314,0.004799901449295528,2.7726937579344732e-08
V315,0.004727120447619194,1.0112502405653681e-05
V289,0.00450784550797802,8.2792295157917e-05
dist2,0.0044473642384562605,0.20230208233436575
V288,0.004443060942387428,0.00012043290186261925
V83,0.004027286484610447,0.0010162031903393222
V82,0.0037438541424388056,0.0011395282981232495
C4,0.0031603373758221985,0.00210763550214081
id_09,0.0029911099015972036,0.9360876632803451
id_17,0.0028109434914726818,0.02930588817128199
V312,0.0026985233168970112,1.3900202921644785e-09
V255,0.0024030996171580127,0.41503395916911245
V245,0.0024030996171580127,0.41503395916911245
V221,0.0024030996171580127,0.41503395916911245
V259,0.0024030996171580127,0.41503395916911245
V250,0.0024030996171580127,0.41503395916911245
V251,0.0023408839292442204,0.4330900713652117
V256,0.0023408839292442204,0.4330900713652117
V222,0.0023408839292442204,0.4330900713652117
id_23,0.0017943558133883112,
V7,0.0017774676671000603,1.688222671028796e-08
V6,0.0017767416865896268,0.00015106042755028785
V9,0.0017763718633825422,0.0019643247021610163
V8,0.0017763718633825422,0.08054678256535674
V197,0.0014639491178710736,0.9924749919380238
V170,0.0014639491178710736,0.9924749919380238
V188,0.0014639491178710736,0.9924749919380238
V194,0.0014639491178710736,0.9924749919380238
V200,0.0014639491178710736,0.9924749919380238
V195,0.0010843710750214712,0.9993046364949574
V171,0.0010843710750214712,0.859584516076757
V189,0.0010843710750214712,0.9993046364949574
V198,0.0010843710750214712,0.9993046364949574
V201,0.0010843710750214712,0.9993046364949574
V47,0.0010261387622615152,0.999999999999999
V46,0.0010261387622615152,1.0
D14,0.0010107196830835585,0.4014501952794637
id_32,0.0010102682335591884,1.7457318899406243e-08
V38,0.0008598139165941388,1.2398913048439303e-05
V37,0.0008596392040757636,0.0414762462670597
V126,0.0008318560825824284,0.1332314519824287
V45,0.0007687316462172793,0.020057622969677634
V44,0.0007687316462172793,0.7011473904359935
V95,0.0007418624104368321,0.49816063530076127
V294,0.0006576537321363783,0.1043002691453947
id_27,0.0004340880279931458,
V306,0.00037864990538167566,0.346795729458911
V279,0.000368209984724189,0.8084497318506512
V317,0.000321025333133656,0.17227024096733612
D12,0.00030409422794987206,0.09155852276750831
D6,0.00029713066622795437,0.026702175660587857
id_08,0.0002932413978575565,1.0
id_25,0.0002397300641730579,0.9999999998626634
id_26,0.00021475940456770193,1.0
V260,0.00015609238682890588,1.0
id_21,0.00010650669520597025,1.0
V262,0.00010403510449795287,0.9999999999999999
V78,7.565112438138952e-05,8.926861939311474e-12
V77,7.320596298971174e-05,0.0006306046166217938
V261,6.663437190941132e-05,0.9999999999999902
id_07,6.651650540945102e-05,1.0
V56,6.446197125428772e-05,0.0002356841048846667
