feature,psi,ks_pvalue
id_31,1.3602479718074665,
DeviceInfo,0.4453944686599048,
id_30,0.4220442174686472,
V66,0.35812420146071106,2.79686115821309e-185
ProductCD,0.3553909320318642,
V67,0.3540100795958311,3.2952747288359987e-167
R_emaildomain,0.353294399196415,
V26,0.349266873545338,2.4489023900734017e-162
V25,0.34397296691453677,1.3649877204265493e-175
C4,0.3103476400518398,0.0
V302,0.2834929020521964,0.0
id_38,0.2805561644407639,
V304,0.28006183413119556,0.0
V303,0.2766132649659979,0.0
id_12,0.23020657200631567,
id_36,0.22556941509866874,
id_35,0.2211756558058938,
id_28,0.21924806370006916,
id_29,0.2190429663169947,
id_37,0.21862092606692296,
id_15,0.2183711640048931,
DeviceType,0.21268651542733732,
id_02,0.21260263858687115,9.634752283334875e-218
M6,0.2092164513503012,
C8,0.20250231354963424,0.0
id_16,0.1986452473707425,
C9,0.19822102017957108,0.0
C10,0.18776327866344755,0.0
id_20,0.18337261071078792,7.990173081534049e-216
id_19,0.17733314750387247,4.8006699708700534e-178
V19,0.1759347770362531,0.0
id_33,0.17104762432598164,
V20,0.16886237477586863,0.0
id_34,0.16880567916864941,
V61,0.1677929329539314,0.0
V62,0.16225403605396096,2.374430517217681e-306
D10,0.15720600061228673,4.679541099111655e-293
addr2,0.1014046496468403,8.466346774472405e-12
C13,0.09884246961545884,7.8564425790662e-310
D3,0.08719204533598557,4.23205317405062e-103
D1,0.08648007799249548,2.8014396492857616e-273
id_13,0.08459748965531913,1.6283832991311912e-131
M4,0.07886093364232244,
id_14,0.07758568878587664,3.076374250255289e-111
C5,0.07708959655985181,1.1363126142737867e-220
V291,0.07590132519655302,9.247315725638086e-173
P_emaildomain,0.07383380111026215,
M5,0.07298374640136132,
M3,0.07130265703599899,
M2,0.07129933819001726,
M1,0.07128933974567321,
V292,0.06479351956744502,1.1272519872239486e-88
C6,0.06292253720831037,5.710394172834155e-85
C2,0.06045496717963967,8.961637055973909e-98
D2,0.06042542385050251,6.672223018664677e-69
V255,0.05651760997604221,1.9849539637736957e-44
V259,0.05651760997604221,1.9849539637736957e-44
V245,0.05651760997604221,1.9849539637736957e-44
V221,0.05651760997604221,1.9849539637736957e-44
V250,0.056503674236760656,1.9849539637736957e-44
V222,0.05633937773048321,3.1702119161353123e-44
V256,0.05633241623471766,3.1702119161353123e-44
V251,0.05631851468748623,3.1702119161353123e-44
C14,0.05572063811561916,4.4618131541352837e-138
card6,0.0540728780930098,
V283,0.053732996106172305,6.207319805969062e-146
C1,0.051689215642439744,1.937783954714407e-139
card2,0.05128518536852986,7.000539479718707e-53
V282,0.050529077632001686,3.4992184619313123e-147
C11,0.04889096573780416,4.378958885844119e-82
addr1,0.04864390102937608,6.344477357620462e-26
V285,0.0473668983183317,2.360417765353763e-133
V53,0.04646289887903607,3.3791811962310116e-148
V12,0.04636186646242516,2.0701299476106004e-149
id_01,0.0415154733102684,9.212161380777383e-42
card4,0.04129647115244477,
V310,0.03913927872131873,2.08817135510349e-133
V54,0.038648858508547074,1.1753555594536358e-120
V13,0.03836039125522976,2.214635712390945e-121
D4,0.03639458942737917,7.035128855225218e-80
M8,0.03635461625034132,
M9,0.03628891020612965,
M7,0.036211796761325035,
id_18,0.034765328065817634,9.06194818006149e-27
D15,0.033960217956889194,5.0091592175541564e-83
V30,0.032474728369137236,2.23963643866125e-85
V29,0.03148726298478951,2.1536959882354276e-82
D8,0.03023446146350654,4.30318201621637e-52
V70,0.029979275395269275,1.0648369183346835e-78
V307,0.02994610728518228,2.8619771326920923e-112
V69,0.02888183447881161,1.942925773315403e-75
dist1,0.027440032224572926,3.3092449227674126e-26
card5,0.023972006867491274,1.2805379695743062e-20
D9,0.023577896441216557,9.6613507776593e-47
card1,0.02331855326479872,9.023196617316622e-19
V36,0.02198386939764385,6.605995397179067e-60
V35,0.02018448259517524,2.0199708564888645e-56
TransactionAmt,0.018413500477691833,6.870882876605281e-42
dist2,0.014505506094022451,2.750497541300059e-08
V76,0.013112460316621093,2.4682276433207007e-39
V287,0.012402819431818438,3.615527393429401e-24
V75,0.011179897222460676,1.5054526622550114e-34
V200,0.009072239684903755,0.00018601146586277723
V188,0.009065126254780185,0.009384090729387775
V170,0.009062006966477057,1.0458635446091074e-33
V261,0.009061456815508892,0.011802134036149914
V171,0.009050723424340787,8.212593572374032e-38
V197,0.009050541028685754,0.009384090729387775
V194,0.009050541028685754,0.009384090729387775
V201,0.009049171732173043,3.6423720762724685e-05
V198,0.009042269489854558,0.009691986716776908
V189,0.009041510691064179,0.009691986716776908
V195,0.009037741042913132,0.009691986716776908
V262,0.008579578262129142,0.013070260768294465
V260,0.008167679083681682,0.014723824214141016
V91,0.007616455796611219,1.414966213101235e-19
V314,0.007606443976593999,6.412983201290887e-18
id_23,0.007546837209605432,
V90,0.007478665043091134,3.488064888485256e-19
V312,0.007447833075081618,3.615527393429401e-24
id_27,0.006501834715579592,
V280,0.006373896258548178,6.953086084206998e-16
V82,0.006081129443849731,3.7249364831614766e-09
V289,0.005790117283412438,7.120560360505189e-10
V288,0.0056317571416084535,2.1925381905481304e-09
V315,0.0055345816790581944,4.111493858813065e-11
D11,0.0054753028896162535,1.322518664676466e-07
V83,0.005238053245953227,1.4720397840175858e-07
V294,0.004282537630150519,3.4150972351517535e-06
V48,0.004106064433575335,8.733988996928325e-09
V49,0.004090728705055018,9.170839911727146e-09
V128,0.004001084736294103,7.430901863800617e-07
id_26,0.0039856395078693065,0.7682955088076981
V165,0.003977585134154039,1.4143371752443526e-52
V145,0.003948451335177929,3.362535400247069e-52
V152,0.003948451335177929,3.362535400247069e-52
V160,0.003948451335177929,3.362535400247069e-52
V11,0.003909968909622802,1.6121411102210178e-06
V10,0.003876485258488275,1.896904147417395e-06
V313,0.003649402552088003,3.033942861850506e-10
V150,0.0036352687536320275,3.7485447562874065e-48
V308,0.003339293092975191,6.953086084206998e-16
id_08,0.003139566621470879,0.8863861406886312
D5,0.003090707211079906,1.6899147890960998e-05
V317,0.003019403059293222,3.4150972351517535e-06
id_07,0.0027838232424714686,0.9132630416033806
V127,0.0023436196490157256,0.0002753197917149761
id_25,0.002177966097672867,0.9989007841894377
V131,0.002019567290868906,0.0007021555181115552
V9,0.001776404660861147,0.9999999999926354
V8,0.001776404660861147,1.0
V2,0.001776404660861147,1.0
V7,0.0017763952947509626,1.0
V6,0.0017763952947509626,1.0
V3,0.0017763735218796638,1.0
V97,0.0016137560217965572,0.00046220000277969543
V144,0.001612060652189296,1.3957006080506152e-24
id_05,0.0013620447775900182,2.7624186695208895e-73
V100,0.0013069710662836362,0.012021725338931148
card3,0.001253964092636164,1.618553976687723e-16
V130,0.0011729742035187197,0.02341353071419338
id_17,0.001024866819746291,4.552184040056465e-16
D14,0.0010102570239150501,0.018408506316064995
V4,0.0010055509747397236,0.36434222072871136
V5,0.000986321973071344,0.4016303827615425
V96,0.0006685481192289731,0.017665726137870146
V99,0.0005701415298739658,0.25017833829424974
id_21,0.0005059943749536575,0.9794253044316988
V279,0.0004081382972709712,0.4111267807091157
id_32,0.0003637089748026519,1.0805622213209906e-28
V153,0.0003465124971766525,0.7243598900157209
V148,0.0003465124971766525,0.7243598900157209
V155,0.0003465124971766525,0.7243598900157209
V157,0.0003465124971766525,0.09316720667815348
V156,0.00034112381630685364,0.7335058036498043
V158,0.00034112381630685364,0.0743150194661012
V154,0.00034112381630685364,0.7335058036498043
V149,0.00033878186866849696,0.7335058036498043
V139,0.00033816909351457904,3.56621167553306e-12
V140,0.0003319733946661741,1.313148498510631e-12
D6,0.00029722710316938314,1.936170273743419e-05
D12,0.0002969079822515991,0.005885275860293592
V126,0.0002195687186306739,0.0418709189420865
V234,0.00017076109192605432,9.825551410451173e-25
V159,0.00010622169383131484,2.431514352640045e-12
id_03,0.00010577672622885936,0.9964415596359217
V55,0.00010323216589079793,0.6507899906623185
V56,0.0001030804522080051,0.7138690140309673
id_09,7.020065323142719e-05,0.363755471621114
V86,6.783560317315605e-05,0.5960311020593532
V23,6.221720751151045e-05,0.05007082180605538
V24,6.221720751151045e-05,0.010875440192958007
V45,6.147885727045141e-05,0.058401306486301374
V77,5.0854917321015255e-05,2.5860766122610162e-05
V78,5.08433678036418e-05,2.9722875980054977e-06
V87,4.9232626494166555e-05,0.05667813605209071
V44,4.7107423273915946e-05,0.29211600721378295
V176,4.4966884741332154e-05,9.90785815759635e-18
V193,4.4966884741332154e-05,0.4859982882192927
V168,4.4966884741332154e-05,1.5177470344567806e-48
V192,4.4966884741332154e-05,0.4859982882192927
V190,4.3843241553950345e-05,8.669798614067472e-05
V306,4.160284219633616e-05,0.4111267807091157
V199,4.0916588856260376e-05,1.5891762951923675e-07
V186,3.9845237354741346e-05,0.027493381845444365
V207,3.878814299657047e-05,1.218282568615472e-11
V196,3.878814299657047e-05,0.5817642106383942
