feature,psi,ks_pvalue
id_31,1.9052134457088115,
id_30,1.142794478624216,
R_emaildomain,0.6144690986023386,
DeviceInfo,0.604632609636227,
C4,0.5605146311931994,0.0
ProductCD,0.4712788750880439,
id_38,0.40792928944394713,
V67,0.3942054123092242,6.1533840039070226e-170
V26,0.39370706274921796,2.1244985703912845e-165
V66,0.39046395369412407,8.472556842691226e-188
V25,0.38805110934807974,1.3509006259952023e-179
V302,0.38662796626000007,0.0
V304,0.3821972209063408,0.0
V303,0.37823060501827477,0.0
id_36,0.3309164551301767,
DeviceType,0.32682078141045257,
id_12,0.32219983198131413,
id_37,0.32194371382338954,
id_28,0.3216933660167759,
id_29,0.32040793239357807,
id_15,0.3179312897044943,
id_35,0.31620617040876664,
id_02,0.31561488215692185,3.2194894651132223e-268
id_16,0.29520586318672776,
C8,0.2950942027569238,0.0
C10,0.28958561237849456,0.0
M6,0.28595475214821553,
id_33,0.27323992109109274,
C9,0.26200277233705754,0.0
id_20,0.2608441422124294,1.6113563817238735e-278
id_19,0.25491393512367677,1.738091280624923e-254
id_34,0.25455909493696394,
V19,0.2070426730898499,0.0
V61,0.20571985739875243,0.0
id_13,0.20507070784938286,0.0
D10,0.1999232622183894,0.0
V62,0.19791178232004358,0.0
V20,0.19775956916648493,0.0
C13,0.16903876701940146,0.0
D1,0.13791297102460762,0.0
C5,0.13038757760997838,0.0
D3,0.13012666322722677,7.007710725873654e-164
id_14,0.1106909805623168,4.055260509614896e-166
V291,0.10849408397586593,5.493793921610671e-234
C6,0.10778482235369022,5.234009324233224e-148
D2,0.09644612100839323,4.423011756919726e-118
C14,0.0961571666101163,1.4094306981385978e-222
M4,0.09327727940700156,
V283,0.08823878894381047,2.7500796907296898e-239
V282,0.08639653570201203,5.943835732339356e-240
M1,0.0857823933057143,
M3,0.08561365972124506,
M2,0.08552724033699173,
P_emaildomain,0.08491854076958688,
M5,0.08430311460215548,
addr2,0.08283697061022412,3.3965283231927554e-11
V285,0.07812070924515,1.3867907201042527e-213
