,0
V1,287.9375055876749
V2,21.3518572596465
V3,105.44073191617208
V4,37.42879337017852
V5,21.643856721595245
V6,104.42681517698645
V7,14.55751905086202
V8,118.56904520876338
V9,139.75840095719636
V10,13.278272679369081
V11,38.28331190146731
V12,70.29816969223688
V13,153.8500020442571
V14,58.12599932471074
V15,61.646687376684824
V16,26.891948136355513
V17,72.05329451190113
V18,70.11087969592197
V19,63.31489103584363
V20,8.339139069100849
V21,75.5938823983387
V22,53.4465226852654
V23,14.843789171683992
V24,75.09066481687776
V25,71.6125178444239
V26,265.60131197796056
V27,22.11336991282258
V28,96.01828931508133
Amount,24.61803452958641
TransactionDT,37.08925137914363
