feature,psi,ks_pvalue
id_31,3.151220695065887,
DeviceInfo,0.5680635349687344,
id_30,0.5424471918420639,
M8,0.4994871172473497,
M9,0.4991407724974437,
M7,0.4990225665309541,
M3,0.420863012357147,
M1,0.4195613212297427,
M2,0.4191653087222052,
id_38,0.39396482828116325,
D11,0.2799763631051354,0.0
D15,0.2068366548074598,2.074317089012929e-182
id_13,0.193405355498132,1.6110072243974756e-91
id_33,0.18393002272078382,
V11,0.16397349081168006,3.753999999998306e-269
ProductCD,0.1636216455758124,
V10,0.1625880854336368,4.991570413446081e-266
V157,0.13398217019670808,1.4412733011454174e-62
V155,0.13398217019670808,1.4412733011454174e-62
V139,0.13398217019670808,1.4412733011454174e-62
V148,0.13398217019670808,1.4412733011454174e-62
V153,0.13398217019670808,1.4412733011454174e-62
V156,0.133797058168104,1.8669674910053257e-62
V149,0.133797058168104,1.8669674910053257e-62
V140,0.133797058168104,1.8669674910053257e-62
V158,0.133797058168104,1.8669674910053257e-62
V154,0.133797058168104,1.8669674910053257e-62
D4,0.12338392616355136,1.2227647294951693e-151
id_35,0.10905731648853803,
V99,0.10823466532621674,1.9685327193581713e-193
V130,0.10523296313184086,8.777999318764548e-204
id_34,0.1043912497661441,
id_02,0.0889522403543125,8.203645949835922e-79
D10,0.08214272137692129,1.2114897048111691e-92
C9,0.08095386511671782,1.5642401228171737e-157
V96,0.07981772251807953,1.5793975726314142e-160
V127,0.06984415883637768,3.3033193839368106e-168
card5,0.06708471124626558,3.5446984614534056e-11
DeviceType,0.06486145557881678,
V26,0.06046793684217215,5.597547164745857e-42
TransactionAmt,0.056956108357912386,4.241413512979353e-12
D5,0.05674776708832388,1.7682887845049918e-77
id_36,0.05345000782124785,
V25,0.053171605146757846,5.328307990102387e-40
C10,0.05086595579809132,1.1256869778822897e-81
addr2,0.04929358409428758,1.1232528949854793e-06
id_16,0.046045701399875356,
id_15,0.045401026134299236,
C8,0.04515758125672351,4.517503992969537e-75
M6,0.04404919017677732,
id_14,0.04395834812150143,7.458127064341484e-22
V49,0.043924285147427425,1.0103984407394768e-77
V48,0.043889350880308056,1.7421724537739462e-77
id_28,0.04228370887551921,
id_12,0.041636188514898996,
id_29,0.04134361196429634,
id_37,0.040645653768319225,
id_19,0.04042154934948288,4.1548457871981046e-37
V90,0.038306435268142126,3.471932417669591e-79
V20,0.038256470523064315,1.1213376077457092e-63
V91,0.03822298330224722,3.617749068806209e-79
V131,0.03681165667086622,7.52857021571328e-46
V4,0.03619662547895179,1.5262673405567485e-27
V19,0.03593712629750302,2.3667596247761167e-62
id_20,0.03558262636571307,2.9893921901388145e-28
V5,0.03499375487134401,1.0882769009584084e-25
V100,0.03410699534649048,5.048110661328712e-41
D1,0.03267067321435377,6.551418797196371e-71
R_emaildomain,0.031926324684414455,
M4,0.031887308128190045,
V67,0.031555017320781406,4.961146220756539e-25
C2,0.029830290501412608,3.3636183284837654e-70
P_emaildomain,0.029538949760066966,
dist1,0.029002975340294692,3.470286820082405e-31
C11,0.027868794699964214,3.86352328861008e-12
C13,0.025177697724394217,6.572719139496675e-54
V66,0.024383038404839408,2.915843246023993e-21
V303,0.022571145650414626,1.608348387345656e-36
V304,0.0217428894926242,5.192461062691635e-35
