feature,psi,ks_pvalue
id_31,2.8093479517625433,
M8,0.8755012951253154,
M9,0.8753791007132068,
M7,0.8751178061505671,
id_30,0.5627446106792203,
M1,0.5598887121716631,
M3,0.5594925387496726,
M2,0.5584574639999016,
D11,0.5255976293349698,0.0
DeviceInfo,0.496974831641439,
D15,0.4183409574536305,1.8177794037293566e-279
id_38,0.412736553430334,
V26,0.31769588929352877,4.0178918531979885e-129
V25,0.31309745737734407,2.7985679309595757e-139
V67,0.29661559792896985,1.9889193030850124e-129
V66,0.2933279847776909,1.3373798611177008e-141
V11,0.27410681196870185,0.0
V10,0.27222887286433056,0.0
D4,0.2476739365708372,8.231317123442097e-281
id_13,0.2032909042663782,3.055969183140779e-85
id_33,0.1815643353415,
ProductCD,0.17702933481646482,
V158,0.16569489126657555,1.6633282689368756e-80
V140,0.16569489126657555,1.6633282689368756e-80
V149,0.16569489126657555,1.6633282689368756e-80
V156,0.16569489126657555,1.6633282689368756e-80
V154,0.16569489126657555,1.6633282689368756e-80
V139,0.16496043280404973,2.109705350753156e-80
V153,0.16496043280404973,2.109705350753156e-80
V155,0.16496043280404973,2.109705350753156e-80
V148,0.16496043280404973,2.109705350753156e-80
V157,0.16496043280404973,2.109705350753156e-80
id_35,0.13578344542661222,
id_34,0.13299864571913825,
D5,0.12663934476340277,3.0529383535317626e-142
C9,0.12079299691868123,3.1992542932354884e-260
D10,0.11098231806158829,1.9858839905466061e-100
id_02,0.10607175553922245,6.162044178805538e-105
V48,0.09186601414099485,6.944205452306636e-195
V49,0.09161267566273054,7.11792505854168e-195
V91,0.08349997643095398,3.266913041789745e-204
V90,0.08342324132073471,1.1844612429629535e-203
V99,0.08055777841836408,9.927431873391166e-179
V130,0.07755449182562711,1.3043307308647255e-185
V4,0.07664234249788995,4.380230583472599e-74
V5,0.07245856390616423,2.546615818474091e-67
DeviceType,0.07215361072170397,
id_36,0.0719083106557341,
card5,0.07131518791544621,8.41388743332124e-34
M6,0.06809004527647303,
V19,0.06595401220851616,1.1667863323446429e-124
C10,0.06563188515115467,3.6732366059399264e-117
id_16,0.06491816143686009,
id_15,0.06479743425499482,
V96,0.06311404846964809,3.075872873090059e-156
V61,0.062449213272336886,3.430925329008493e-115
V20,0.062195107036049996,1.2832373136552807e-113
C8,0.0620016612317013,2.9375294891870506e-114
id_28,0.0604764280651963,
id_29,0.05885159192508678,
V62,0.05834686176122582,5.597394401638581e-104
id_12,0.05815951778505979,
id_14,0.058075513170704994,1.0303358794176825e-30
id_37,0.05665589310519672,
id_19,0.056469621786306295,1.4825942338225805e-50
TransactionAmt,0.05397362557901604,1.97385280293368e-48
