feature,psi,ks_pvalue
id_31,1.1416890806063953,
D15,0.43806217138391723,0.0
id_30,0.42411925252521426,
id_38,0.3991255918746818,
DeviceInfo,0.39287185631540333,
V25,0.3140785511348467,2.5993353431021152e-132
V26,0.31039577144575636,1.2199555410070514e-121
V66,0.30238108867994695,6.52388748315432e-136
V67,0.3019356973530535,1.4088637285559837e-123
D4,0.2673755763712965,0.0
ProductCD,0.1839645224205416,
V153,0.1585906011191847,9.871079536799608e-75
V139,0.1585906011191847,9.871079536799608e-75
V155,0.1585824370512545,9.871079536799608e-75
V157,0.1585824370512545,9.871079536799608e-75
V148,0.15857427722250172,9.871079536799608e-75
V154,0.1583868021127333,1.3258948973681593e-74
V140,0.1583868021127333,1.3258948973681593e-74
V156,0.1583868021127333,1.3258948973681593e-74
V158,0.1583868021127333,1.3258948973681593e-74
V149,0.15837049261651248,1.3258948973681593e-74
id_33,0.15068305338745192,
id_35,0.12650699217834172,
addr2,0.12311610554305369,1.62184196153365e-09
id_34,0.12279516601190614,
D10,0.11977954561868805,3.663770585939518e-110
V35,0.1045428607395824,1.0107511790846584e-241
V75,0.099783197226812,1.7970200846684454e-249
V36,0.09702772350566817,1.5665108820517657e-218
D5,0.09395808235485581,1.0057870561214001e-87
V76,0.09116218382211666,2.3295402306346353e-222
M9,0.08379562019180803,
M8,0.08360811314683406,
M7,0.0831182381794999,
id_02,0.07246848132064009,2.325755403049747e-64
V99,0.06250570037790769,7.244753450360583e-126
V61,0.059770697038903794,4.5376306023140666e-105
V19,0.058377142467115284,6.6674316350861535e-106
V62,0.057963962742379194,4.2902381802563795e-98
V130,0.05768520862295736,2.2574951031928437e-133
V20,0.0574972395611235,1.9474585513033228e-100
D11,0.05544583473269914,1.2862002114158698e-73
DeviceType,0.05480729947035848,
C10,0.05447410077151464,1.224333191396751e-95
TransactionAmt,0.05337909852164137,3.8029176378123404e-14
id_15,0.052615305396784454,
id_16,0.05256102672843481,
id_36,0.052185357222420514,
C8,0.05156348221361515,2.5352635889283764e-93
id_12,0.05059155306666023,
id_28,0.04943125545271072,
id_19,0.04911001317290016,9.018265173954266e-43
id_20,0.04904437477465931,4.0933545077861505e-39
id_29,0.048563753370059595,
V96,0.04842575969653951,7.307559440897843e-110
id_37,0.04802758827569688,
id_14,0.04742477127774645,4.0898830509132594e-25
M6,0.046586092197539855,
V49,0.046475910212130045,7.1846146189563545e-90
V48,0.04614966787696381,9.601127363824365e-89
V91,0.04591323274657958,5.973344394827935e-104
V90,0.045846994648327054,1.3702145793325545e-103
M4,0.04124732141977974,
R_emaildomain,0.040318088362988794,
V127,0.037240030151900264,4.270981516151679e-115
V291,0.02797296200882733,1.6523263533825048e-53
V131,0.025423280203610493,9.397076690070307e-35
V303,0.025266950127962814,4.787562024447163e-44
V304,0.024304627828944242,3.135616461361461e-42
V302,0.023310360160381287,2.5981915791286074e-40
V100,0.023130487275998483,1.4478928890263242e-29
addr1,0.020576855920532575,9.748572629721817e-09
M5,0.020567091518722637,
P_emaildomain,0.02001399547957735,
V292,0.016576355699023444,6.528336813778188e-21
V69,0.016531421345343383,1.37620727020784e-38
V70,0.015919127295708227,2.564527366910939e-37
V97,0.015160340309496693,1.6450324308964054e-26
D3,0.015133584457815088,4.281290917369478e-11
V29,0.01497331104688683,4.556938262159813e-35
V30,0.014810214244917994,7.894560700644841e-35
C9,0.01394979589929251,1.4332324070166567e-32
C13,0.01354872369793418,4.724609696067034e-18
card4,0.012663266458954926,
C2,0.011650347651958343,1.6203409743350532e-28
dist1,0.01137470744254589,2.274630692210079e-16
V11,0.011101903347698117,2.9508546393572163e-16
V10,0.011055415265570386,3.3209222024633423e-16
D9,0.010925703060220369,2.7163557213809663e-08
card6,0.010625536090699567,
V82,0.010127481333784409,4.8328010990832924e-14
id_18,0.009500042541226923,0.002161892103815243
V83,0.00903548258380767,6.4462544486832655e-12
D2,0.009029162012091606,2.348225270196804e-25
C6,0.008757421828267256,2.95439172019645e-12
C14,0.008287102767078707,3.3728855620078367e-10
V128,0.008059137611284035,2.570965933634261e-29
card2,0.007173374826915209,2.9305603211897916e-11
C11,0.006321889917893174,1.319550088702732e-06
card5,0.005517038484116928,0.04142652275046432
C1,0.005032544234014319,2.0265019292675208e-11
D8,0.0048171298324383984,3.0531647775059434e-17
V313,0.004739570040131674,3.066686877681706e-07
V4,0.004384074956537228,0.002220196560537214
V283,0.004296941162088577,0.0011273524796102132
card1,0.004279241437154404,0.0031766721742443236
D1,0.004216424920875943,1.3016651404152387e-27
V288,0.003936499516494203,5.414498760766341e-06
V289,0.0038783629240034512,4.899775359134628e-06
V5,0.0038666389826566196,0.00632806668409434
id_23,0.0037653032932794626,
M2,0.003739669532048134,
V315,0.00338230642361104,2.14797671385933e-06
C5,0.0033481021124325003,5.53378466221636e-07
V310,0.0032373128425360314,8.14972279326329e-11
V285,0.0028692613099594714,7.436250046335973e-08
V307,0.002792530516918056,1.9587083999915352e-08
V314,0.002593627605502416,4.346713198729334e-07
M3,0.0024380036755959175,
M1,0.0023792556692558173,
V255,0.002225898325976285,0.2318678556113697
V259,0.002225898325976285,0.2318678556113697
V250,0.002225898325976285,0.2318678556113697
V221,0.002225898325976285,0.2318678556113697
V245,0.002225898325976285,0.2318678556113697
V256,0.002160750719215395,0.24809866961567006
V251,0.002160750719215395,0.24809866961567006
V222,0.002160750719215395,0.24809866961567006
V280,0.0019296137916971967,0.00018401365197520778
V44,0.001836621649174686,0.018273010733661735
V45,0.001836621649174686,5.813562552656104e-06
V308,0.001791492781401182,6.586378919789539e-06
V3,0.0017764087376416179,0.004158720510347252
V8,0.001776404660861147,0.4304980684419146
V9,0.001776404660861147,0.17601491569585137
V6,0.0017763899290716906,0.08266320610528877
V7,0.0017763795513546185,0.01596816970460975
V2,0.001776373528014693,0.11134067968719641
V287,0.0016404969969338822,0.0018008719523883519
id_09,0.0016394402719128848,0.7983080161564478
V12,0.001569492671472486,0.00016593208715954101
id_27,0.0014688121650817119,
V282,0.0014205003239069571,0.0006538411348588388
id_03,0.0014015933068847399,0.9996559282813828
V13,0.0013617555290553773,0.0006340029542181177
id_17,0.0012542755879153724,6.557723747281751e-09
C4,0.00123770875808008,0.020757874140789733
V279,0.0012213436914189086,0.03329710867904023
V38,0.0010516228644519637,5.101123168420132e-10
V37,0.001051457947289679,0.001054338137522235
D14,0.0010104600633758743,0.36429373740524895
V46,0.0009683251763170781,1.0
V47,0.0009683251763170781,0.9265350748863992
id_07,0.0009113296943723255,0.999998800475504
V312,0.0007526314465510877,5.334413696656274e-06
V95,0.0007008073949337628,0.28779783155014527
id_01,0.0006500751885597631,1.828993822947647e-35
V53,0.0005763617342309413,0.06463357776700984
id_26,0.0005290782824254576,0.9999999975737031
id_08,0.0005035431705763208,0.9999999975500343
id_21,0.0005016815082949694,0.9999723610459514
card3,0.00043999129240761904,0.004214719552289678
V306,0.0003315310812315925,0.017701133528398447
D12,0.00030041638104652074,0.0003482953372182605
D6,0.0002971182075119403,0.0007218762742153669
V317,0.00028873106005304833,0.5083917490718886
V294,0.0002341494351511958,0.9101678779802205
V261,0.00022182978156788487,0.99999930683152
dist2,0.00021550364904268123,0.9965826139403988
V54,0.0001801453691713382,0.6662378972537724
id_13,0.00017324731694715525,1.7711010766558134e-05
V262,0.00014281168502373225,0.999999999957973
V201,0.00012362922539537185,0.9563106354942268
V171,0.00012349847892082128,0.9998307183302012
V189,0.0001233721552317261,0.9022961610457817
V195,0.0001233721552317261,0.9999999999700789
V198,0.0001233721552317261,0.9999999999997032
V200,0.00011984471768522815,0.9995910842477178
V188,0.0001190261976136989,0.9978685959167262
V170,0.00011818998925350564,1.0
V197,0.0001180661033073496,0.9999999999999734
V194,0.0001180661033073496,1.0
V126,0.00011427866181148381,0.20087681676271285
V86,0.00010315725575043014,0.0010695892378364666
V23,7.302017412047761e-05,1.0
V24,7.302017412047761e-05,0.4363597466099518
V260,6.499786468042038e-05,1.0
V87,6.389785057076202e-05,1.5623526712445605e-10
V78,6.198274436346468e-05,2.4328686949285977e-14
V77,6.196906529611247e-05,1.4044878924312537e-05
id_25,5.414918653038568e-05,0.9999333539451155
id_32,4.212223936571407e-05,1.058556679740453e-12
V55,3.410988656162177e-05,0.2028266012297768
V56,3.410988656162177e-05,2.8128853184441655e-06
V234,4.611654337475232e-06,0.9995782398880396
V176,1.7079474715837005e-06,0.036654739445765694
id_05,1.4381487297019028e-06,1.687648616801342e-05
V190,1.2547013398541615e-06,0.7848102523096201
V199,1.0542484180550202e-06,0.9909420283934853
V180,9.605634234144015e-07,1.0
V182,7.056706379304799e-07,1.0
V192,7.056706379304799e-07,0.9981609585298873
V186,7.056706379304799e-07,0.9997699781455165
V329,5.575408915686604e-07,0.669331301530343
V330,5.575408915686604e-07,0.7567723770288409
V323,5.575408915686604e-07,0.05143511354928665
V105,5.575408915686604e-07,0.0042202407419772705
