feature,psi,ks_pvalue
id_31,3.5419448327395617,
M8,0.6337883389906258,
M9,0.6333453483840336,
M7,0.6331864356984046,
DeviceInfo,0.5373679863521567,
id_38,0.5358116058813317,
id_30,0.5072177597103492,
D15,0.5044086904359222,0.0
D11,0.3762060315013176,0.0
D4,0.3696780210713904,0.0
V26,0.33214024605843206,5.156171989783775e-123
M1,0.32475354607731344,
M3,0.32341171222224585,
M2,0.3227351689471741,
V25,0.32140524193368164,4.355955776033392e-132
V67,0.3168249108476467,2.2276022300120254e-124
V66,0.31347618244828207,2.123011386614632e-136
ProductCD,0.22438475401971544,
id_35,0.18594443848585904,
id_33,0.17179691219670085,
V158,0.15102439117173666,5.121409443539755e-72
V149,0.15102439117173666,5.121409443539755e-72
V154,0.15102439117173666,5.121409443539755e-72
V140,0.15102439117173666,5.121409443539755e-72
V156,0.15102439117173666,5.121409443539755e-72
V157,0.15091183259475394,4.635835774706327e-72
V155,0.15091183259475394,4.635835774706327e-72
V153,0.15091183259475394,4.635835774706327e-72
V148,0.15091183259475394,4.635835774706327e-72
V139,0.15091183259475394,4.635835774706327e-72
D5,0.13773588443785947,1.6173901349681436e-162
M4,0.13502741526832923,
D10,0.13426538814136577,2.1392172980882204e-181
id_34,0.12609005821606104,
V19,0.12474092219043748,2.0857287578345095e-205
V11,0.12292764495230002,6.39215980430532e-210
V10,0.12154373991668549,4.891163991814056e-207
V20,0.12081342158204164,3.337479463832742e-191
V61,0.12047741465320774,6.531921062380437e-193
V62,0.11634935718149084,7.071963357810216e-179
card5,0.09310601860441689,1.840054499724528e-42
P_emaildomain,0.08611543226932651,
id_02,0.08588473640114774,9.160420770961429e-66
addr1,0.07272684516922498,8.27677307806046e-34
R_emaildomain,0.07161321140822656,
V35,0.07119547623251066,5.249608860895132e-160
V36,0.0687609722064408,1.225771599474198e-150
TransactionAmt,0.06181574371648878,4.973404672468073e-14
id_15,0.06088001426375522,
V75,0.05097163943163999,5.688800590033749e-124
V76,0.05050402445923508,1.0565346678358525e-119
V130,0.047552270834663846,8.737212987463891e-94
V99,0.04455612741554365,1.2460411983059134e-85
id_14,0.043533535836922266,2.5615432695186182e-23
id_01,0.041388151227855614,2.7165570710765394e-34
card2,0.03537663809713164,3.542280933081932e-08
V48,0.03296626097693159,1.0232885811685548e-61
id_20,0.03276666570754941,4.2078340029900325e-24
V49,0.032711515766050636,1.07382900320974e-61
V127,0.03146253106980457,1.1414005062831273e-77
V96,0.031179543554185077,4.321981713633367e-70
V4,0.029423071224099685,1.5234152214245705e-23
V5,0.028025149010755472,1.347002957035983e-21
V260,0.027322301183336464,2.910208307740071e-07
addr2,0.026616506821502028,3.7068918704174704e-05
V262,0.026255120402741527,9.406575275045707e-07
V261,0.026214040010074772,1.6824373203502054e-06
id_19,0.024473423015164468,5.940861234116948e-15
C9,0.023551655965869292,8.159001658555229e-48
V245,0.023001757861296372,2.9309911384477802e-12
V250,0.023001757861296372,2.9309911384477802e-12
V255,0.023001757861296372,2.9309911384477802e-12
V259,0.023001757861296372,2.9309911384477802e-12
V221,0.023001757861296372,2.9309911384477802e-12
V222,0.022625685540743977,5.087667103781545e-12
V251,0.022608722626669794,5.087667103781545e-12
V256,0.022608722626669794,5.087667103781545e-12
id_16,0.021488022749314505,
