feature,psi,ks_pvalue
id_31,2.6390321279345375,
M8,0.7519472617434844,
M7,0.7518022856758386,
M9,0.7517489768930219,
id_30,0.5539227041638474,
D15,0.4708767277227541,0.0
D11,0.4694426207418249,0.0
DeviceInfo,0.4467837979380396,
id_38,0.4446975875404315,
M3,0.424115917441383,
M1,0.4218132332815847,
M2,0.4218025267349776,
D4,0.33512356483394645,0.0
V26,0.31400669450411867,2.4108065838344157e-120
V25,0.29590204078748555,1.0333342224879077e-127
V67,0.28682891285751294,1.24074749812689e-119
V66,0.25717407897349737,1.687154518776099e-125
V11,0.19126943329077453,0.0
V10,0.1902138704582284,0.0
ProductCD,0.18497873231299666,
V156,0.1518635290392418,7.067987604735659e-72
V158,0.1518635290392418,7.067987604735659e-72
V140,0.1518635290392418,7.067987604735659e-72
V154,0.1518635290392418,7.067987604735659e-72
V149,0.1518387070322854,7.067987604735659e-72
V153,0.15174652420884785,6.410862519731874e-72
V139,0.15174652420884785,6.410862519731874e-72
V157,0.15172996589189047,6.410862519731874e-72
V155,0.15172996589189047,6.410862519731874e-72
V148,0.1517216934362678,6.410862519731874e-72
id_33,0.14824134913725667,
id_35,0.13549206330134678,
id_34,0.1213591702692109,
D5,0.1197757472760621,7.717054976041401e-145
D10,0.10913238205849464,3.538186193957542e-123
V20,0.0957063293326512,9.584965480257882e-156
V19,0.09434543786285601,1.8227834784716818e-160
V62,0.09195384332194026,1.702288606842128e-145
V61,0.09036483619636684,1.0042632866905515e-149
id_02,0.08184343817417938,1.3511110655041442e-77
card5,0.06851967454721787,1.0749806903162345e-21
V48,0.06382114088445177,2.184066957652286e-123
V49,0.06361119261445178,2.262008996757958e-123
P_emaildomain,0.06328246203897424,
C9,0.061214912169859366,1.2683964413030446e-129
M4,0.05854379004942387,
TransactionAmt,0.057802623089703846,5.980921998279327e-19
V130,0.05745000546257694,1.7572376066200176e-111
V99,0.053781596265616224,4.859859235876855e-105
id_14,0.047028427983699495,1.317628450536759e-24
V90,0.04394493614545535,1.0050406488771877e-97
V91,0.043539364190574754,5.534539085576507e-97
V35,0.04143805502866712,1.3559557857058258e-90
R_emaildomain,0.04049867839439619,
V4,0.04003982395224769,5.2834801701826065e-33
V96,0.03912571536376438,1.6955873411529702e-89
id_20,0.03858740036158159,5.145306499623648e-35
V36,0.03817927822337217,4.669326461313715e-81
V5,0.037731322396451536,6.722543589891451e-30
V127,0.037166939278732256,7.99043886767396e-94
id_36,0.03587160123126409,
id_15,0.03316316430743288,
id_16,0.03289751473500588,
addr1,0.0326859842456552,1.718503555333303e-25
V75,0.03220363341046531,3.667877803942182e-77
id_19,0.030755913959318947,3.910397616613896e-28
addr2,0.029896865491807374,1.646524996515443e-05
DeviceType,0.02930988972662035,
V76,0.02873109031619183,8.539885603070098e-67
M6,0.02859532788627818,
C11,0.02851989256296107,5.989714744509672e-05
C10,0.028186447182424666,7.996652934243333e-51
V54,0.026189355353377828,2.577183513131848e-63
C8,0.025941034989935025,3.903321380653481e-48
V53,0.02574014257992337,7.90978629183548e-64
id_12,0.02570920224813298,
id_28,0.02460157682718994,
id_37,0.024402320828628116,
id_29,0.0242089862342774,
V13,0.018875123915710997,1.354440733531285e-46
C2,0.017884513447955296,2.2728117777467768e-46
V12,0.017204411565653163,1.9404749359376104e-43
V131,0.01704603300496723,5.878954063525407e-22
D2,0.016229472463378605,3.016942476725164e-24
card2,0.016050945632978916,1.473542846551755e-09
card1,0.015951610582626608,1.9199981423674705e-06
V69,0.014730575238045461,7.391391971978492e-34
C6,0.01460073851389757,2.4494389093620228e-12
id_18,0.014584071436006348,0.00013836615639505038
V70,0.014132684231485913,1.259969895050142e-32
C13,0.014081512273164624,7.900977071842256e-19
V100,0.013793432056680367,1.088907877996878e-17
D3,0.013665802774439403,1.2046130241254644e-15
card6,0.013051102401888903,
V29,0.012713210182642452,2.553182269710312e-29
D1,0.01246149407576638,1.034600056023761e-28
V30,0.012373487514731628,1.1803942005629533e-28
V288,0.011576623915739291,3.063686657409671e-17
V289,0.011034567118094078,6.157053436178636e-17
dist1,0.010899726052102583,1.470805622380256e-15
V310,0.010689649876437227,1.181286285258937e-28
V313,0.010109329951056683,1.112153990541279e-17
V303,0.009349487473874695,4.5754005221555675e-17
V304,0.008664816864377152,9.698456221204628e-16
V315,0.008556555058451511,2.65900274517227e-17
M5,0.008361711433856596,
V302,0.008130321577162558,1.117157155071231e-14
V97,0.007813311300890118,2.3598866938270323e-13
V285,0.0077838097966151775,1.0001303729428014e-20
card4,0.0075251286090826305,
V307,0.007493161396254772,3.695777331280534e-24
V314,0.0073314654726858546,3.3029724963838904e-17
C1,0.006018230429720551,2.628552389735379e-13
id_01,0.005460743050703577,2.696295438314006e-33
id_23,0.005411050648618,
V317,0.005167414265146953,7.849627916477935e-06
V280,0.004968896142511312,1.6212344329250048e-07
dist2,0.004534784397887449,0.1382970604611251
C14,0.004526190294004946,1.0929916705487382e-06
V128,0.004476306980484974,2.2707028603457493e-15
V283,0.004379045852012677,6.935639477268866e-06
V308,0.004282652302647017,5.0691387556428365e-08
V245,0.0041227199823860505,0.03387516245730471
V250,0.0041227199823860505,0.03387516245730471
V221,0.0041227199823860505,0.03387516245730471
V259,0.0041227199823860505,0.03387516245730471
V255,0.0041227199823860505,0.03387516245730471
V294,0.004081757771908504,0.00010487923851873479
D9,0.004008999633726778,0.0005308130003272211
V251,0.0038687659261554515,0.04441591843518944
V256,0.0038687659261554515,0.04441591843518944
V222,0.0038687659261554515,0.00956898774251826
V287,0.00345994487515036,3.8533105824352647e-07
V312,0.0032686119814833753,1.8738746873122523e-08
V292,0.003146214125370188,0.00018355408442554354
id_13,0.002959540501674071,4.867897191179983e-66
V82,0.0028118348315380732,0.0005510024531093799
id_27,0.0025373309961434173,
card3,0.0024846017957525176,5.3565022443865814e-17
V83,0.0024832905103810725,0.0021251621561971827
id_05,0.0021964617131708906,1.3168032092073345e-06
V2,0.001776404660861147,0.00026450840764309836
V3,0.001776404660861147,2.893735706593147e-12
V7,0.001776404660861147,4.382304654104806e-11
V8,0.001776404660861147,0.094396791713528
V6,0.001776404660861147,5.2483887720928734e-05
V9,0.001776404660861147,0.0008004490981651431
V291,0.0016770683010880602,7.684114184909118e-06
V23,0.001643698942431248,0.8840954944885745
V24,0.001643698942431248,0.054838321397779444
C5,0.0014323795517392735,0.013707841398482412
id_09,0.0014230673480650432,0.5146091807242859
V262,0.0011026584198383798,0.9878880138599975
V260,0.0010110323614947998,0.991230536288581
D14,0.0010102882810233997,0.0035213368971627615
id_26,0.000955566313493657,0.9999997580921948
V261,0.0009449611655907773,0.996822626973563
V188,0.0009212828870942857,0.5803233483306862
V197,0.0009205292884147589,0.9962910896436384
V170,0.0009201594983005043,0.012823966109861208
