feature,psi,ks_pvalue
id_31,2.6139665666765555,
M9,0.7305267053553846,
M8,0.7302253943673378,
M7,0.7298623019547499,
D11,0.5162563751434006,0.0
id_30,0.5101937125281225,
id_38,0.4350945844732468,
D15,0.4219348992066636,0.0
M2,0.41284399990834136,
M1,0.41072639906288766,
M3,0.41064434656943816,
DeviceInfo,0.40957970195038407,
D4,0.36166605830072407,0.0
ProductCD,0.23422204405998656,
id_33,0.20170889409223816,
V149,0.18628387556447953,2.5247427138456702e-92
V140,0.18628387556447953,2.5247427138456702e-92
V154,0.18628387556447953,2.5247427138456702e-92
V156,0.18628387556447953,2.5247427138456702e-92
V158,0.18628387556447953,2.5247427138456702e-92
id_35,0.1858764144329687,
V157,0.1855429239796991,3.0180753083464214e-92
V153,0.1855429239796991,3.0180753083464214e-92
V139,0.1855429239796991,3.0180753083464214e-92
V155,0.1855429239796991,3.0180753083464214e-92
V148,0.1855429239796991,3.0180753083464214e-92
id_34,0.1822755441548175,
D10,0.16532020667709005,6.935619686769565e-265
V67,0.15505690870618286,1.6589268555564316e-102
V66,0.15491966232258272,8.184449567219814e-111
id_02,0.14651007965865756,9.54801762390084e-137
V25,0.14469302314239485,8.910193791099439e-103
V26,0.14201091645412026,3.0974443553926084e-95
V11,0.1411321507111625,8.065259719526165e-282
V10,0.13965649560804488,6.502774843696289e-278
id_36,0.11531649455557272,
DeviceType,0.11446826235313175,
C10,0.11246610624444241,3.375915843456697e-207
id_12,0.11244255954097637,
C9,0.11216601339629423,8.841913148770221e-250
C8,0.11198398544498683,1.7204198828507245e-212
id_15,0.1103928942653152,
id_37,0.10894125013288221,
id_16,0.1083376666823735,
id_28,0.1082808828234645,
id_29,0.1079738084138207,
id_20,0.10002924832181688,2.1541007086960988e-72
id_19,0.09629282485129102,2.875026502884379e-71
card5,0.07875227073184142,1.5346481249283347e-24
addr2,0.0785325382453872,7.907165258546353e-10
V61,0.07338664874501086,5.0457907229099794e-144
V303,0.07244073299519069,6.518576904798063e-131
V62,0.07093695054513927,5.914335850685635e-134
V304,0.07089227564480449,1.4006555374367431e-127
M6,0.06940464908509264,
V302,0.06927717910019307,4.0874623358928726e-124
D5,0.06879461960948546,2.1045460548139348e-63
V19,0.06786724229950526,2.2884778048751527e-138
V20,0.06582081477093801,2.5367996916936308e-129
id_14,0.06335384744888897,2.525703364483075e-35
TransactionAmt,0.0632093157043837,2.485615014433486e-86
R_emaildomain,0.059407452429379934,
card6,0.05594821468924798,
V48,0.04908886627666309,2.8761338493867115e-108
V49,0.04906079515576062,3.402259014427459e-108
M5,0.03951496604720339,
M4,0.036932495670869175,
V90,0.03210460234165883,8.925855841895988e-82
V91,0.03200877662350793,1.2067505033323024e-81
V4,0.03143890704142808,4.589193100717534e-29
V5,0.02984904810657322,1.3879081235155238e-26
P_emaildomain,0.029782083893886795,
C4,0.028846446987778142,6.826598648313888e-48
V54,0.028481772827146177,2.163429279193222e-79
V53,0.024900958524682923,1.9920201278017936e-71
V130,0.024169258393043437,6.2134317155123344e-61
V13,0.02387840623663269,9.987086482950666e-68
V99,0.02370279017325439,9.911851962089055e-54
id_18,0.023438920658399368,2.0186747077199136e-07
V12,0.02189084278478047,1.5650550333442506e-63
D9,0.02079409369987742,6.167076543983536e-15
dist2,0.016478116093865437,0.00022061794809705558
V35,0.0160533793155898,1.6356385051079205e-39
D8,0.0140708922875576,3.568015712172325e-27
V96,0.01372616640912636,3.3439844639394013e-35
V69,0.012794353032489983,5.576574079956214e-34
V70,0.01256514777312736,1.6982714984390507e-33
V36,0.012551068802570996,6.561197249984899e-30
V291,0.011810957860211205,6.3080887632081905e-27
card4,0.011772319992884696,
V127,0.011710332159154416,1.737329902730244e-40
V29,0.0116890455272873,4.1525939618164e-31
V30,0.011449929806963051,1.3377565453019994e-30
V292,0.011427143281062773,1.596635998395755e-16
V75,0.01087848833019339,9.295475019908019e-30
C11,0.009801990432521387,0.15854677617341129
V131,0.00962138494783141,4.3799271041576376e-14
D2,0.009396694125158584,4.829083083963105e-26
V76,0.008189127648641156,1.0572699015991911e-21
V294,0.007562570208684249,3.147532054305412e-09
V100,0.006837340855277765,7.276928462805463e-10
V317,0.006533783008673201,2.3870677127982776e-09
id_13,0.006388965894131912,1.9174023990797245e-22
addr1,0.0061233592006409345,6.135046383105691e-05
id_27,0.0054362637247458954,
id_23,0.005353971312362593,
card2,0.004695649653974423,4.393120625752076e-09
D1,0.004614714778898854,1.6624987147221066e-30
C6,0.0044710964868240515,0.00012086485579737661
card1,0.004272808467172536,0.002051909076071791
C13,0.004090990104969996,7.109770318452236e-07
V280,0.0032493213075352944,0.00029126530570824954
V313,0.003217778139631103,1.9516582697474642e-06
V288,0.0030498028849990904,1.9839263419834276e-05
D3,0.0027839087881416217,0.0075709706228282
V315,0.002780620116695375,2.1873642622902115e-05
V289,0.002771311941721563,3.827950418666713e-05
V283,0.002730480217423067,1.3341960364928513e-05
C2,0.0026449756348463785,2.052561771802119e-06
id_26,0.0025604798632900922,0.9951131754837487
id_09,0.002537400369838036,0.41724406445543005
V285,0.0025317983528519434,0.05068953067007709
V128,0.002441676004093783,6.27442858334446e-07
id_17,0.0023863395578227024,0.6882900521150409
id_08,0.0021841232982705663,0.9990167950380193
V282,0.0018230310488879821,1.9598578068197383e-05
id_07,0.0017885882126849747,0.997232669226765
V9,0.001776404660861147,3.0030969637398246e-06
V8,0.001776404660861147,0.0001651433156137052
V2,0.001776383553551774,1.4882229419442388e-08
V6,0.001776383553551774,7.06268715489021e-09
V7,0.0017763732407400853,6.305450038324186e-15
V3,0.0017763718308536156,9.06958516638698e-17
V314,0.001725645151461779,0.0005001883174629026
V97,0.0017094025244376262,0.0013467033338029288
dist1,0.001640725240906826,0.03347062973194026
C14,0.0014537208510974394,0.4144962055313177
V260,0.0013002190047913633,0.9833450996439633
id_01,0.0011829644827131586,2.6970492391741167e-44
id_25,0.001165038457114111,0.9975985857978587
V262,0.0010790906514791863,0.9953100415988816
D14,0.0010102898924078858,0.9993662722003305
V95,0.0010085266221093914,0.09888295218523913
V261,0.0009768920701359073,0.9045923964248119
V83,0.000945708659193375,0.10416017889188589
V312,0.0009230399719576317,0.003116246472445956
id_21,0.0009201723105528186,0.9896985111635884
C5,0.0009127601978671855,0.06801160127494466
C1,0.0008222487299987575,0.061793057585380895
V82,0.0007110803180226382,0.19355103596681533
