feature,psi,ks_pvalue
id_31,1.0685100308212614,
id_30,0.41243812897820226,
D15,0.4110326237905175,0.0
V26,0.3969682451014195,8.794808741654393e-127
V25,0.38969721065386836,1.487108612373014e-137
V67,0.3846888931589461,2.528325152760425e-129
V66,0.3661952329448537,2.89174868037285e-141
id_38,0.3649410705643668,
DeviceInfo,0.36421094551525174,
D4,0.23249361051353218,9.73906439859702e-278
V157,0.16576509801443848,9.754820567124109e-75
V148,0.16576509801443848,9.754820567124109e-75
V139,0.16576509801443848,9.754820567124109e-75
V155,0.16576509801443848,9.754820567124109e-75
V153,0.16576509801443848,9.754820567124109e-75
V158,0.16555599246694055,1.3058099037872554e-74
V154,0.16555599246694055,1.3058099037872554e-74
V156,0.16555599246694055,1.3058099037872554e-74
V140,0.16555599246694055,1.3058099037872554e-74
V149,0.16555599246694055,1.3058099037872554e-74
ProductCD,0.16314384815623553,
id_33,0.14853592896497345,
id_35,0.12381592787216394,
id_34,0.12263575734153946,
V99,0.11252983397517363,5.487882673544711e-226
V130,0.10799272843189506,1.874168768947717e-230
addr2,0.10141855584475878,5.08620294429473e-09
id_02,0.10070818050389606,3.612571056826659e-87
D10,0.09900223970962585,3.2945457170167372e-81
V96,0.0856747293407728,4.186936388593983e-186
DeviceType,0.08442784081068863,
id_36,0.0832983332888298,
C8,0.08081035071869752,3.048909513600804e-136
id_15,0.07854395201060821,
id_12,0.07800243265148053,
id_16,0.07785874698067857,
id_28,0.07693593825573031,
C10,0.07668278239112572,1.5709879821515836e-126
D5,0.07616116323816913,1.288193992092391e-82
id_29,0.07615645359309797,
M6,0.07552451282744403,
id_37,0.07509552725594519,
V127,0.07488881946648307,4.0487996436272104e-192
V75,0.06997049849038064,3.5006736570236157e-169
id_20,0.06909521016708331,4.6206099764875827e-48
V35,0.06634146767165777,1.5204108487750015e-146
V76,0.06483945374687525,1.0363230024986596e-152
id_19,0.06421838085823575,2.673065832145086e-48
V36,0.06058950596126319,4.413223191335318e-130
M4,0.06048828336507617,
V291,0.05792251181896932,3.4666860487002084e-102
M5,0.05675918246145856,
D11,0.05600287586063722,2.026768907801893e-76
TransactionAmt,0.05538571248290322,6.535883339283495e-14
V20,0.05317671736800772,2.1257991383400195e-91
V19,0.05226295000599541,1.6375586456783938e-93
V62,0.051051506900876516,1.984800711973008e-85
V131,0.047548415004627545,1.0559478925158563e-65
V61,0.047537094231287304,2.5893681538135336e-83
V100,0.04729811457365133,4.211137261689086e-62
V303,0.047262023179912446,1.4077042640877115e-76
id_14,0.046242912817413315,4.440836939819343e-24
V304,0.045861721344214054,5.652312649417574e-74
V302,0.044988681430849255,4.611032629880464e-72
R_emaildomain,0.04309811866374241,
V292,0.039111534717693096,4.861627642241142e-44
V97,0.02896899166442205,8.519676384476409e-51
V91,0.02858651808004075,2.211570849393663e-62
V90,0.028530813441553726,5.0652996098204305e-62
C9,0.027977479090616514,1.6042743913460536e-60
V48,0.025152207336920286,6.7704539339198254e-46
V49,0.0250636178719095,3.0999589052256066e-46
D9,0.021678663332299054,5.6921450045991034e-11
P_emaildomain,0.018495043419922662,
V128,0.018303672301002608,1.4043681974502616e-54
M8,0.018057876930898328,
M9,0.01805607989711084,
M7,0.017725109578538917,
V82,0.01693561280982103,2.7813436994491957e-23
C11,0.015446061675142767,0.01829801167586508
id_18,0.015423164075490114,9.792669814643439e-05
V83,0.014346941671268619,1.0975239090396027e-18
card5,0.013849113412373147,1.0824480031469703e-07
V310,0.013708132755996767,7.925034965763508e-34
D3,0.013304258218256013,4.6422657970423904e-15
D2,0.012572079053413421,4.4357215145687615e-18
D8,0.012271474488281893,5.2244766038284e-19
V285,0.011326269242853248,1.8080945615974187e-27
id_23,0.010907275964915999,
card4,0.010479963105632468,
card1,0.009951377470480449,7.391588626906697e-06
V307,0.0098253279813389,4.212283822665682e-28
card2,0.009119571728467207,6.018328568758964e-09
C4,0.009058852667200913,7.28552682741154e-14
id_03,0.008553572210375482,0.995656509991158
C13,0.008455390780877878,4.422575063397097e-17
card6,0.008124475286743009,
