feature,psi,ks_pvalue
id_31,2.637542212450369,
id_30,0.5287452910090544,
DeviceInfo,0.4029954883158934,
id_38,0.3815096487042917,
D15,0.27410174742436494,1.0734046586896745e-308
D4,0.2242649901715173,1.932688750189458e-285
V66,0.15309068183047989,2.6497997512702982e-95
V25,0.14833676123813436,1.9633647548580907e-90
V67,0.14225858883462472,2.7727261240531698e-84
V26,0.13657153326607477,1.526674804301067e-80
M8,0.13386630105371058,
M9,0.13337442558227047,
M7,0.13277414608144586,
ProductCD,0.1293838207676476,
V154,0.12533108515577132,2.126121324547682e-64
V156,0.12533108515577132,2.126121324547682e-64
V140,0.12533108515577132,2.126121324547682e-64
V158,0.12533108515577132,2.126121324547682e-64
V149,0.12527636195374853,2.126121324547682e-64
V139,0.12501314824210358,2.3176309948671767e-64
V153,0.12500531878341573,2.3176309948671767e-64
V157,0.1249974937974592,2.3176309948671767e-64
V155,0.1249974937974592,2.3176309948671767e-64
V148,0.12498185724503226,2.3176309948671767e-64
addr2,0.1224069800046089,2.291500837552975e-09
id_33,0.09840142550963005,
V35,0.09505216330287641,6.236053488345399e-216
D5,0.08681950433033922,5.8259197364538995e-102
V36,0.0848301899158366,2.97335612771545e-187
D10,0.07177445017782301,5.282949903574575e-109
V75,0.07077901784939691,4.9630900613710296e-173
D11,0.0690752598418089,1.3169896168039737e-73
id_35,0.06559967635965804,
V19,0.06429635992927242,3.798181001834049e-114
V61,0.06373262200452166,6.203825375294168e-110
V76,0.0620855952279975,1.874244344336696e-147
V62,0.06165179853655563,2.2249610337937497e-102
id_34,0.06074093592223949,
V20,0.06001057368415959,4.4102532970849567e-103
id_02,0.05518948236345829,2.0470014502786856e-54
TransactionAmt,0.04268281935375821,7.620875871846922e-15
P_emaildomain,0.04172561068404501,
V48,0.03994524858412847,2.5971294922403684e-75
V49,0.039664772894006294,2.692264728598723e-75
dist1,0.036431836833224394,1.5798944909506302e-50
R_emaildomain,0.035371870414962106,
M4,0.03494400715412663,
V99,0.03437077318598558,4.869839442484923e-60
V130,0.0315336775351743,1.189306855140943e-65
DeviceType,0.03134437514105792,
M2,0.028136213640561698,
V96,0.027847787292517245,3.9195611007072975e-59
id_14,0.027465300066774834,3.8272795117360127e-16
M3,0.026955930750656908,
M1,0.02650326273550064,
V90,0.024932580681810985,1.3818192699269382e-54
V91,0.02489811666117303,1.1297341723974735e-54
V127,0.024071538037458397,1.0682784280437574e-61
id_36,0.023845008985162102,
card5,0.02299638532578714,0.000585726841731455
addr1,0.02201010665700464,3.879304160638384e-15
V11,0.020574240961964328,2.3268608118966358e-30
V10,0.02036540528226768,5.88911733462978e-30
id_12,0.01840673024410391,
id_20,0.018165847898348006,3.1402436499267545e-16
V131,0.017307266033915376,1.5716058503862103e-22
C10,0.01728326080832421,1.772215149404313e-32
id_16,0.01621572985883459,
id_15,0.015963477772370272,
id_28,0.015168201082069364,
C8,0.015007118281393436,4.6444274274653674e-29
C13,0.014655371006898735,1.3160778380327614e-09
V100,0.014514296031008338,1.2128716884855307e-18
D3,0.014358595494008197,2.4569782011397902e-11
id_19,0.01429744805704765,1.4440272201834693e-14
id_29,0.014281206652023615,
card2,0.01423280794361261,1.1552499990226547e-16
id_37,0.013539265167776232,
card1,0.01294398487012724,9.571980350250183e-08
M6,0.012347903869249475,
V97,0.012155035440520778,6.883957020664252e-21
C2,0.01197424753585507,4.6056979743818597e-29
D2,0.009659686085109134,3.871982046315094e-20
C6,0.009588279538224227,3.75199270216276e-07
V283,0.009174307729269872,5.458519439286584e-12
V4,0.009155594481334047,7.952672800000432e-07
V256,0.008713117776832669,0.00020882500184068724
V251,0.008711141796397568,0.00020882500184068724
V222,0.008711141796397568,0.00020882500184068724
V255,0.008677194535881387,0.00021601243505660572
V259,0.008677194535881387,0.00021601243505660572
V245,0.008677194535881387,0.00021601243505660572
V250,0.008677194535881387,0.00021601243505660572
V221,0.008675222185182059,0.00021601243505660572
V5,0.008640994721977623,3.177376536987045e-06
card6,0.00806588360961569,
C14,0.007480402380285055,0.0013289158815183873
dist2,0.007059468730532152,8.682953478328735e-12
V69,0.007028768298239832,3.467040113914398e-16
V128,0.006910034512730008,2.7133823977186505e-23
id_13,0.006835415408356154,5.262927908218676e-10
V29,0.006684601628985589,1.7905902273990236e-15
V289,0.006643586497183252,4.248796057667532e-10
V70,0.0065418942572518565,3.746556961455596e-15
V30,0.006235411929602691,1.6394586552692366e-14
V288,0.006066174407296393,5.200704997699105e-09
D1,0.005376125297553529,4.131022006925352e-23
M5,0.005042206251405513,
C4,0.004795020292109022,9.033245699982657e-09
V280,0.004616462259466374,1.262091188119475e-09
id_18,0.004360961654617936,0.06826707725193504
V313,0.00427231328913996,2.000807979883002e-09
V307,0.004222640258340469,4.1148062876354795e-14
C11,0.003968596596806809,0.002525912046790953
V310,0.003963597393489861,1.1619027317435981e-10
V285,0.003763420227967368,8.621837375449825e-10
V292,0.003356561863965384,0.00010609383817451447
V303,0.003247622736152803,2.2502901261243663e-06
V308,0.003237675387650962,3.5307985490584535e-11
V315,0.003059096045198649,1.782415368686205e-10
card4,0.0029695387733205385,
V304,0.002941566277299257,1.0033556085196237e-05
V314,0.002932283179105842,3.356960708649635e-10
C1,0.0028704045684278152,5.207550432664057e-06
C9,0.002836547856555001,1.1678298020937189e-06
V291,0.0027169622569882005,7.02764175384163e-06
V302,0.0026713759308204616,3.774698080930163e-05
V287,0.0025729765354895215,1.2782850988903121e-05
id_01,0.0025084984253479358,5.559383117845763e-30
D9,0.0023635813666305116,0.001907357450646007
id_09,0.0019913882142978206,0.7189852299210044
id_05,0.0019155626189124855,0.02536581065293586
V6,0.001776404660861147,0.0779491127114853
V2,0.001776404660861147,0.09627430700472095
V3,0.001776404660861147,0.002643597586873517
V7,0.001776379180964142,0.010063116471480503
V82,0.0017314289780834041,0.01347801268735845
V279,0.001619174230601206,0.00891926565186414
V83,0.001589358569160564,0.006237358608419117
id_23,0.0013731479127082097,
V53,0.0012420757316262414,0.001341624828480183
V12,0.0011535888893378452,0.0021889532061425865
D14,0.0010104717831491718,0.06539349065732392
C5,0.0009941816227103486,0.582572109951524
id_21,0.0008802567407690937,0.9999946692712053
card3,0.0008755825610131529,4.699919567636008e-06
V312,0.0008266338331430693,1.996332708661297e-07
V13,0.0007920086517902947,0.019920214785214625
V38,0.0007886490663332713,5.840296928052938e-11
V37,0.0007884677787981753,0.002265318651444999
V171,0.0007449357431709569,0.000753002967910358
V201,0.0007428367768610663,0.04585648991464475
V198,0.0007418499678342325,0.9993847880807896
V189,0.0007418499678342325,0.3679733405673684
V195,0.0007418499678342325,0.9993847880807896
V194,0.0007282396586292981,0.9994611705457681
V170,0.0007282396586292981,0.0274465231364861
V188,0.0007279177469434008,0.9276424317192791
V197,0.0007279177469434008,0.9994611705457681
V200,0.0007279177469434008,0.25355399491342057
V306,0.0007095570621030571,0.005363490903309344
id_27,0.0006737265957283647,
id_03,0.0006060405689094044,0.9996529285815919
V47,0.0005847903187193657,0.7218334783325349
V46,0.0005847903187193657,1.0
V54,0.0005596775200154406,0.08088353280511529
id_17,0.0005140890855125351,1.2957817176576257e-13
V95,0.0004080018820831453,0.6377840295561014
V45,0.00036525221856324453,0.00010924054528777105
V44,0.00036525221856324453,0.1486129444918154
V262,0.00036092361923279305,0.9997055430448697
id_32,0.00034314214358855825,3.457973640118999e-06
V261,0.0003402554015231596,0.968246347040405
id_08,0.0003208254504400381,1.0
D12,0.0002979188133052694,6.1575280125314305e-06
D8,0.00027943190996643333,1.9589900307166366e-09
V260,0.00026378189201529826,0.999964998656515
id_25,0.00025558538270445316,0.9999999999999972
id_07,0.00020364580091742217,0.9999999999999978
V9,0.00017805973647189584,0.32698003600056924
V8,0.00017805973647189584,0.6319012682778293
V126,0.00015170069049182748,0.4031903033921421
V294,8.775694525702304e-05,0.9859633144701535
V78,8.525902275307009e-05,2.6961027079828455e-16
V77,8.419487180122637e-05,3.591326968093373e-07
V317,7.218137108615931e-05,0.9167467932477606
V23,3.5817115395385575e-05,0.9999999991226733
V24,3.5817115395385575e-05,0.9470396296613083
id_26,3.1528050655335185e-05,0.9999999981553677
V56,3.1022064244876795e-05,2.0090061195348501e-10
V55,3.1017000715230804e-05,0.003762896989580066
V87,1.753489774073196e-05,1.4772153871949972e-07
V86,1.0988170738346398e-05,0.010951808867539336
D6,3.764907671978543e-06,1.730192818266314e-06
V282,3.239273552956426e-06,6.414784656043744e-05
V180,2.63522685055015e-06,0.09110709339600098
V182,2.63522685055015e-06,0.10506862939415706
V213,1.1030140217992815e-06,0.06612583541216843
V284,1.0049949714695277e-06,0.5408970445987848
V84,9.115382948388161e-07,5.692565344998435e-23
V63,8.226436649310309e-07,4.872764014809873e-24
V176,6.585392375863862e-07,0.0005915651479181954
V192,5.833287864051552e-07,1.0
V98,4.4658977497649484e-07,0.997451052615277
V196,4.4658977497649484e-07,1.0
V186,3.850605612342833e-07,0.6677003715917025
