feature,psi,ks_pvalue
id_31,1.1725034777990304,
D15,0.41205706684675136,0.0
V25,0.40678905671618737,9.18335359336229e-136
V26,0.4007637454571391,3.7933105214674635e-124
id_30,0.39512010546226795,
V66,0.3805523611438677,1.6554213416555447e-139
V67,0.37530292197101056,1.1551394666394933e-125
DeviceInfo,0.36893088146603803,
id_38,0.3664764560176954,
D4,0.2335356071410567,2.602392723473805e-264
ProductCD,0.16042808746448084,
V153,0.14213411492986003,3.766632921374286e-67
V157,0.14213411492986003,3.766632921374286e-67
V155,0.14213411492986003,3.766632921374286e-67
V148,0.14213411492986003,3.766632921374286e-67
V139,0.14213411492986003,3.766632921374286e-67
V154,0.1419427181724606,4.949666497026554e-67
V140,0.1419255298328547,4.949666497026554e-67
V158,0.14186552835490165,4.949666497026554e-67
V156,0.14186552835490165,4.949666497026554e-67
V149,0.14183988855902316,4.949666497026554e-67
id_33,0.1326744892309535,
addr2,0.10992112291663211,5.673928953986346e-09
id_35,0.10570731865611008,
id_34,0.10492172523743187,
V35,0.10120418465792591,5.139216072482353e-223
V75,0.0994469787599267,2.4669808505380584e-237
D5,0.09649053094899722,6.771243702778966e-107
V99,0.09595300983835828,1.0315434061340139e-187
D10,0.095671838498776,4.6268544795905986e-71
V36,0.09287498861722718,3.281563002836232e-199
V76,0.09203346545712376,4.4577750536443005e-214
V130,0.09007310468905441,5.749646279213616e-195
V96,0.08225499423172261,4.7505725345559994e-175
id_02,0.0725295147421288,4.446651182859412e-64
V127,0.06864926843581026,7.138291778825496e-181
V19,0.06623138937600417,2.2450557468278256e-113
V61,0.06604971959913347,8.941640957348237e-110
V62,0.06524812128622053,3.736431710011683e-104
V20,0.06433740580797856,3.9278590291820726e-106
TransactionAmt,0.061463067596156336,1.3816044191824602e-20
id_36,0.055059532419401834,
id_16,0.05399865121345604,
id_15,0.05349559928112474,
C10,0.05294497864193344,4.895926027024726e-89
DeviceType,0.052767747032105704,
id_12,0.051854927615671675,
C8,0.051802505369920024,1.533968962397419e-89
M6,0.05178386209304023,
id_20,0.05045903007481759,3.920983936137071e-39
id_28,0.04946655836016059,
id_29,0.0487938557491332,
id_37,0.04868348091504393,
M4,0.048277389702385175,
V100,0.04651787344020612,8.533722690378202e-60
V131,0.04595219202014718,9.346935608717198e-64
id_14,0.045373064095873945,3.321574432835472e-23
id_19,0.04486506571969626,2.577992883228388e-37
V49,0.03585907980573816,1.3356677136127297e-65
V48,0.035445264261463424,3.050296363655035e-64
R_emaildomain,0.0341928057563322,
M5,0.03388773547063927,
V291,0.03314646514359778,6.800552744210328e-60
V97,0.03271039059750521,2.811658120554414e-56
V91,0.03265611810816829,8.428815409648031e-70
M9,0.03262546201630462,
V90,0.03258656079489643,1.6698770851984833e-69
M8,0.03236056482810369,
M7,0.032321398131854355,
D11,0.027896112674715142,1.8912861140161815e-35
C11,0.027310854338448893,0.00040959828265858047
V303,0.026760111398031673,2.256918098237882e-44
V304,0.026131138257705255,9.062534467171844e-43
V302,0.025057550000726275,7.304458444385189e-41
V292,0.023128270106858476,5.209911425927899e-27
D3,0.021093178978708344,4.237395589494368e-26
V128,0.02015467899727413,2.2216489999607635e-59
P_emaildomain,0.02002002983967252,
D2,0.016933005867830437,1.484381893568409e-22
addr1,0.01684323905975003,1.563955111304551e-07
C13,0.01545652595658275,3.886598178235186e-26
card1,0.01507088080707325,1.9346983465933945e-07
card5,0.013420724826009114,4.20277763861177e-05
C9,0.013288372837616039,6.913624270194103e-29
card2,0.01305055617325068,9.400073491364877e-18
D9,0.012875597213112969,5.316952678895037e-07
V307,0.012347393312719817,1.0740283642919077e-28
V285,0.012226831675650533,4.056286077375448e-29
D1,0.012051012709687484,2.7269963041927255e-24
id_18,0.010922307681590734,0.00139878757021791
V82,0.010834972402334362,2.2343745305489863e-14
V310,0.010421788572253957,6.1310588571679785e-34
C2,0.01030312156940958,2.738347241670806e-24
V288,0.009760525347668855,5.017382020703629e-14
V289,0.009667601788187579,3.406362713421866e-14
V83,0.0095890185147373,4.224133736115773e-12
V69,0.009422457394686275,5.912743300003917e-21
card4,0.008963445199196535,
V70,0.00887426209868175,7.771349200144246e-20
